Frances,Español
je,yo
de,de
est,es
pas,no
le,el
vous,vosotras
la,el
tu,Uds
que,que
un,a
il,Él
et,y
à,en
a,en
ne,Nació
les,el
ce,esta
en,en
on,nosotros
ça,ese
une,a
ai,tener
pour,para
des,desde
moi,yo
qui,Quién
nous,nosotros
y,Y
mais,maíz
me,yo
dans,dentro
du,desde
bien,bien
elle,ella
si,Si
tout,todo
plus,Más
non,No
mon,mi
suis,soy
te,Uds
au,a
avec,con
va,va
oui,sí
toi,Uds
fait,hacer
ils,ellos
as,tener
être,estar
faire,hacer
se,ser
comme,me gusta
était,estaba
sur,seguro
quoi,qué
ici,aquí
sais,saber
lui,él
veux,desear
ma,mi
là,el
rien,nada
dit,dicho
es,esencia
où,o
votre,tu
pourquoi,Por qué
sont,están
cette,este
quand,Cuándo
par,mediante
son,su
ton,tu
peux,puedo
vais,voy a
dire,decir
alors,entonces
comment,¿Cómo? 'O' qué
avez,tener
bon,Bien
ou,Donde
très,muy
merci,Gracias
ont,tienen
même,mismo
jamais,Nunca
aussi,también
voir,ver
chose,cosa
allez,Vamos
tous,todo
deux,de ellos
ces,aquellos
faut,deberían
sa,ella
êtes,son
été,Verano
ta,tu
fais,hacer
avoir,haber
peut,puede
autre,otro
m,metro
encore,de nuevo
maintenant,Ahora
peu,pequeño
mes,mi
vraiment,De Verdad
temps,hora
notre,nuestro
toujours,siempre
vie,vida
sans,sin que
juste,correcto
oh,Oh
avait,tenía
accord,OK
vu,visto
monde,mundo
quelque,algunos
fois,hora
aller,Vamos
trop,demasiado
viens,ven
crois,creer
dieu,Dios
dois,debo
homme,hombre
père,padre
sûr,seguro
aux,a
leur,su
avant,antes de
étais,tenue
besoin,necesitar
femme,mujer
aime,amor
personne,cualquiera
avais,tenido
chez,en la casa de
vrai,real
ans,año
mal,mal
ses,su
parler,hablar
vos,tu
après,después
mort,muerto
veut,quiere
eu,UE
sera,estarán
bonne,buena
parce,por
mieux,mejor
petit,pequeño
voilà,listo
tes,tu
ca,ese
dis,decir
beaucoup,muchos
depuis,desde
doit,deber
vois,ver
mère,mamá
vas,Vamos
monsieur,señor
quel,qué
déjà,ya
fille,muchacha
gens,personas
donc,Entonces
jour,día
soir,noche
autres,otros
ii,II
toute,toda
bonjour,Buenos dias
ll,ll
maison,casa
nom,apellido
argent,dinero
nos,nuestro
ouais,sí
pense,pensar
merde,mierda
nuit,noche
papa,padre
cela,ese
salut,Hola
cet,esta
avons,tenemos
reste,descansar
désolé,Lo siento
maman,mamá
peur,miedo
arrive,venir
seul,Sólo
vite,rápido
prendre,llevar
